Domain	SubDomain	Url	FirstIndexed	LastIndexed	CompanyName	Vertical	State	Country	ARank	QRank	Name	Parent	FirstDetected	LastDetected	IsLive	IsPremium	Link	Tag	Category0	Category1	Category2	Category3	Category4	Category5	Category6	Category7	Category8	Category9


oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	Apache		1448409600000	1512342000000	0	no	https://httpd.apache.org/	Web Server										
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	PHP		1448409600000	1512342000000	0	no	https://www.php.net	framework										
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	Comodo SSL Wildcard	Comodo SSL	1449788400000	1482879600000	0	no	https://comodosslstore.com/sgc-wildcard-ssl.aspx	ssl	Wildcard									
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	SPF		1449788400000	1688108400000	1	no	http://www.open-spf.org/	mx										
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	Comodo SSL		1449788400000	1482879600000	0	no	https://comodo.com	ssl	Root Authority									
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	CPanel SSL		1488582000000	1531436400000	0	no	https://cpanel.com	ssl										
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	Rogers		1507158000000	1509922800000	0	no	https://rogers.com	hosting	Canadian hosting									
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	MailChannels		1507158000000	1688108400000	1	maybe	https://mailchannels.com	mx	Transactional Email									
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	jQuery	jQuery	1515625200000	1530572400000	0	no	https://jquery.com	javascript	JavaScript Library									
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	Font Awesome		1515625200000	1530572400000	0	no	https://fontawesome.io	widgets	Fonts									
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	Google Font API		1515625200000	1530572400000	0	no	https://fonts.google.com	widgets	Fonts									
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	GoDaddy Website Builder		1515625200000	1530572400000	0	no	http://www.godaddy.com/hosting/website-builder.aspx	cms	Simple Website Builder									
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	BootstrapCDN		1515625200000	1530572400000	0	no	https://www.bootstrapcdn.com/	cdn										
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	GoDaddy CDN		1515625200000	1530572400000	0	no	http://www.godaddy.com	cdn										
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	AddThis		1515625200000	1530572400000	0	no	https://addthis.com	widgets	Bookmarking	Social Sharing								
oneil4machinery.com			1448409600000	1688108400000		Technology And Computing	MA	US	56484982	-1	GStatic Google Static Content		1529276400000	1529276400000	0	no	https://google.com	cdn										
